2018/11/19 08:42:06 wazuh-db: INFO: Started (pid: 4540).
2018/11/19 08:42:07 ossec-execd: INFO: Started (pid: 4555).
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading loading the lists file: 'etc/lists/audit-keys'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading loading the lists file: 'etc/lists/amazon/aws-sources'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading loading the lists file: 'etc/lists/amazon/aws-eventnames'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0010-rules_config.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0015-ossec_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0016-wazuh_rules.xml'
2018/11/19 08:42:07 wazuh-modulesd:oscap: INFO: Module disabled. Exiting...
2018/11/19 08:42:07 wazuh-modulesd:ciscat: INFO: Module disabled. Exiting...
2018/11/19 08:42:07 wazuh-modulesd:osquery: INFO: Module disabled. Exiting...
2018/11/19 08:42:07 wazuh-modulesd:download: INFO: Module started
2018/11/19 08:42:07 wazuh-modulesd:database: INFO: Module started.
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0020-syslog_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0025-sendmail_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0030-postfix_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0035-spamd_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0040-imapd_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0045-mailscanner_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0050-ms-exchange_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0055-courier_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0060-firewall_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0065-pix_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0070-netscreenfw_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0075-cisco-ios_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0080-sonicwall_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0085-pam_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0090-telnetd_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0095-sshd_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0100-solaris_bsm_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0105-asterisk_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0110-ms_dhcp_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0115-arpwatch_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0120-symantec-av_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0125-symantec-ws_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0130-trend-osce_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0135-hordeimp_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0140-roundcube_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0145-wordpress_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0150-cimserver_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0155-dovecot_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0160-vmpop3d_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0165-vpopmail_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0170-ftpd_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0175-proftpd_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0180-pure-ftpd_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0185-vsftpd_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0190-ms_ftpd_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0195-named_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0200-smbd_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0205-racoon_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0210-vpn_concentrator_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0220-msauth_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0225-mcafee_av_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0230-ms-se_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0235-vmware_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0240-ids_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0245-web_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0250-apache_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0255-zeus_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0260-nginx_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0265-php_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0270-web_appsec_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0275-squid_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0280-attack_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0285-systemd_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0290-firewalld_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0295-mysql_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0300-postgresql_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0305-dropbear_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0310-openbsd_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0315-apparmor_rules.xml'
2018/11/19 08:42:07 ossec-analysisd: INFO: Reading rules file: 'ruleset/rules/0320-clam_av_rules.xml'
